ID,FEMALE,RACE,SES,SCHTYP,PROG,READ,WRITE,MATH,SCIENCE,SOCST
116,1,4,2,1,,57,59,54,50,56
170,0,4,3,1,,47,62,61,69,66
97,0,4,3,1,,60,54,58,58,61
104,0,4,3,1,,54,63,57,55,46
121,1,4,2,1,,68,59,53,63,61
94,0,4,3,1,,55,49,61,,56
65,1,4,2,1,,55,,66,42,56
158,1,4,2,1,,52,54,55,53,51
92,1,4,3,1,,52,67,57,63,61
175,1,4,3,2,,36,57,42,50,41
23,1,2,1,1,,65,65,64,58,71
69,,4,1,1,,44,44,40,40,31
29,0,2,1,1,,52,44,49,55,41
163,1,4,1,1,,52,57,64,58,56
117,0,4,3,1,,34,49,39,42,56
68,0,4,2,1,,73,67,71,63,66
53,0,3,2,1,,34,37,46,39,31
166,1,4,2,1,,52,59,,61,51
152,1,4,3,1,2,,57,56,58,61
119,1,4,1,1,1,42,57,45,50,43
20,,1,3,1,2,60,52,57,61,61
172,0,4,2,1,2,47,52,57,53,61
74,1,4,2,1,2,57,50,50,51,58
71,1,4,2,1,1,57,62,56,,66
10,1,1,2,1,1,47,54,49,53,61
13,1,1,2,1,3,47,46,39,47,61
184,1,4,2,2,3,50,52,53,55,56
85,0,4,2,1,1,55,,57,53,46
197,0,4,3,2,2,50,42,50,36,61
177,0,4,2,2,2,55,59,62,58,51
47,1,3,1,1,2,47,46,49,33,41
137,1,4,3,1,2,63,65,65,53,61
196,0,4,3,2,2,44,38,49,39,46
79,1,4,2,1,2,60,62,49,50,51
12,0,1,2,1,3,37,44,45,39,46
95,0,4,3,1,2,73,60,71,61,71
140,0,4,2,1,3,44,,,50,26
182,1,4,2,2,2,44,52,43,44,51
134,0,4,1,1,1,44,44,39,34,46
113,0,4,2,1,2,,52,51,63,61
191,1,4,3,2,2,47,52,43,48,61
151,1,4,2,1,3,47,46,52,48,46
194,1,4,3,2,2,63,63,69,61,61
76,0,4,3,1,2,47,52,51,50,56
111,1,4,1,1,1,39,54,,47,36
78,1,4,2,1,2,39,54,54,53,41
83,1,4,2,1,3,50,62,41,55,31
153,,4,2,1,3,39,,40,39,51
52,1,3,1,1,2,50,46,53,53,66
6,1,1,1,1,2,47,41,46,40,41
75,0,4,2,1,3,,46,51,53,61
39,1,3,3,1,2,66,67,67,61,66
159,0,4,3,1,2,55,61,,49,61
126,0,4,2,1,1,42,31,57,47,51
180,1,4,3,2,2,71,65,69,58,71
8,,1,1,1,2,39,44,52,44,48
133,0,4,2,1,3,50,31,40,34,31
62,0,4,3,1,1,65,65,48,63,66
109,1,4,2,1,1,42,,42,42,41
122,1,4,2,1,2,52,59,58,53,66
11,,1,2,1,2,34,46,45,39,36
129,1,4,1,1,1,44,44,46,47,51
112,,4,2,1,2,52,59,48,55,61
32,1,2,3,1,3,50,,66,,56
16,0,1,1,1,3,47,31,44,36,36
90,1,4,3,1,2,42,54,50,50,52
135,1,4,1,1,2,63,60,65,54,66
188,1,4,3,2,2,63,62,56,55,61
98,1,4,1,1,3,57,60,51,53,37
142,1,4,2,1,3,47,42,52,,51
128,0,4,3,1,2,39,33,38,47,41
185,0,4,2,2,2,63,57,55,58,41
5,0,1,1,1,2,47,40,,45,31
110,1,4,2,1,3,,55,50,54,61
38,0,3,1,1,2,45,57,50,31,56
190,1,4,2,2,2,47,59,54,58,46
131,1,4,3,1,2,65,59,57,,66
102,0,4,3,1,2,52,41,51,,56
36,1,3,1,1,1,44,49,44,35,51
146,0,4,3,1,2,55,62,64,63,66
24,0,2,2,1,2,52,,66,47,46
51,1,3,3,1,1,42,36,42,31,39
179,1,4,2,2,2,47,65,60,50,56
35,1,1,1,2,1,60,54,50,50,51
7,0,1,2,1,2,57,54,59,47,51
130,1,4,3,1,1,43,54,55,55,46
41,0,3,2,1,2,50,40,45,55,56
199,0,4,3,2,2,,59,50,61,61
156,1,4,2,1,2,50,59,53,61,61
58,0,4,2,1,3,55,41,,44,41
